Submission id,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b857750ab523953a6573c,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$60000–$69999,Donald Trump,Donald Trump,41,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b857b362a68eb580db15c,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Joe Biden,Kamala Harris,50,Female,White,United States,United States,United States,English,No,Part-Time
691b857f423d2bdf018a0971,"English, Spanish",Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Latino/Hispanic,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,35,Female,Mixed,United States,United States,United States,Spanish,No,Full-Time
691b858159e6e9b185990e6a,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$30000–$39999,Rather not say or N/A,Donald Trump,19,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
691b85f89a69336f12aa5efa,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Native American or Alaskan Native,Undergraduate degree (BA/BSc/other),$50000–$59999,Donald Trump,Donald Trump,42,Male,Other,United States,United States,United States,English,No,Full-Time
691b8638ac1487612a7587d0,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,Less than $10000,Donald Trump,Donald Trump,47,Female,White,United States,United States,United States,English,No,Full-Time
691b86685f20a8cc729f0a37,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$50000–$59999,I did not vote,Donald Trump,51,Female,White,United States,United States,United States,English,No,Part-Time
691b867bb3983e931dcb0120,"English, German, Polish",Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Graduate degree (MA/MSc/MPhil/other),More than $150000,Donald Trump,Donald Trump,56,Female,White,Poland,United States,United States,Polish,No,Full-Time
691b86e6df414e5108e59256,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),$70000–$79999,Joe Biden,Donald Trump,41,Male,White,United States,United States,United States,English,No,Part-Time
691b86fa79362d1bbf26a8f9,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,$40000–$49999,Donald Trump,Donald Trump,32,Male,White,United States,United States,United States,English,No,Full-Time
691b87360b9b4fb23e5c1b9f,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Graduate degree (MA/MSc/MPhil/other),Less than $10000,Donald Trump,Donald Trump,42,Female,White,United States,United States,United States,English,No,Full-Time
691b87709ef42a90f446f84d,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Latino/Hispanic,Undergraduate degree (BA/BSc/other),$90000–$99999,Donald Trump,Donald Trump,42,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b87dd89e40f7e97a33468,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$70000–$79999,Donald Trump,Donald Trump,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b883d20484176607fa3b0,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,$50000–$59999,Donald Trump,Donald Trump,54,Male,White,United States,United States,United States,English,No,Full-Time
691b88457d43ab5399de9313,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Black/African American,Technical/community college,$40000–$49999,Donald Trump,Donald Trump,44,Female,Black,United States,United States,United States,English,No,Full-Time
691b889c7ce91a5f2fff40f4,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Donald Trump,I did not vote,42,Male,White,United States,United States,United States,English,No,Full-Time
691b89d1f63cf2c16bf7e902,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$90000–$99999,Donald Trump,Donald Trump,58,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b89e42939550fe9defdc1,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Latino/Hispanic,Undergraduate degree (BA/BSc/other),$100000–$149999,Donald Trump,Donald Trump,50,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b8a183be031421797df88,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,59,Male,White,United States,United States,United States,English,No,Full-Time
691b8a3587edd988c147f2fb,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Mixed,Technical/community college,$30000–$39999,Donald Trump,Donald Trump,67,Female,White,United States,United States,United States,English,No,Full-Time
691b8a6341a8b77bdac6ad27,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$70000–$79999,Donald Trump,Donald Trump,44,Male,White,United States,United States,United States,English,No,Full-Time
691b8aa283572686ad6ec3d5,"English, Spanish",Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Latino/Hispanic,Undergraduate degree (BA/BSc/other),$40000–$49999,Donald Trump,Donald Trump,37,Female,White,United States,United States,United States,English,No,Other
691b8b0cb786a1c1d8d13bd1,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Rather not say,Undergraduate degree (BA/BSc/other),Less than $10000,Donald Trump,Donald Trump,51,Male,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b8b1fa26b15a78badace9,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$40000–$49999,Donald Trump,Donald Trump,51,Female,White,United States,United States,United States,English,No,Part-Time
691b8b64eb79de92b09e2cfb,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),Less than $10000,Donald Trump,Donald Trump,64,Female,White,United States,United States,United States,English,No,Full-Time
691b8b68d82a679c969a1dec,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Black/African American,Undergraduate degree (BA/BSc/other),Less than $10000,Donald Trump,Donald Trump,35,Male,Black,United States,United States,United States,English,No,Full-Time
691b8b85f388c50f0015e58c,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Mixed,Technical/community college,$20000–$29999,Donald Trump,Donald Trump,60,Female,White,United States,United States,United States,English,No,Part-Time
691b8be77596464b378ad685,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Black/African American,High school diploma/A-levels,$90000–$99999,Donald Trump,Donald Trump,28,Male,Black,United States,United States,United States,English,No,Full-Time
691b8bed58fe944b9302be21,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),More than $150000,Donald Trump,Donald Trump,36,Male,White,United States,United States,United States,English,No,Full-Time
691b8c576cf724b776d62b74,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,$16000–$19999,Donald Trump,Donald Trump,33,Male,White,United States,United States,United States,English,No,Part-Time
691b8c5807c5b9bc1921634f,"Belarusian, English, French, Russian, Romanian, Swedish, Spanish",Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$20000–$29999,Joe Biden,Kamala Harris,19,Female,White,Belarus,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b8ccc79362d1bbf26a9e5,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Black/African American,High school diploma/A-levels,Less than $10000,I did not vote,Donald Trump,35,Female,Black,United States,United States,United States,English,No,Full-Time
